quxian_url,shangquan,start_url
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,张江,http://fangjia.fang.com//pghouse-c0sh/a025-b01645-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,周浦,http://fangjia.fang.com//pghouse-c0sh/a025-b05926-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,祝桥,http://fangjia.fang.com//pghouse-c0sh/a025-b05931-h315/
http://fangjia.fang.com/pghouse-c0sh/a030-h315/,大华,http://fangjia.fang.com//pghouse-c0sh/a030-b03937-h315/
http://fangjia.fang.com/pghouse-c0sh/a030-h315/,高境,http://fangjia.fang.com//pghouse-c0sh/a030-b03940-h315/
http://fangjia.fang.com/pghouse-c0sh/a030-h315/,共富,http://fangjia.fang.com//pghouse-c0sh/a030-b012993-h315/
http://fangjia.fang.com/pghouse-c0sh/a030-h315/,共康,http://fangjia.fang.com//pghouse-c0sh/a030-b03943-h315/
http://fangjia.fang.com/pghouse-c0sh/a030-h315/,顾村,http://fangjia.fang.com//pghouse-c0sh/a030-b03941-h315/
http://fangjia.fang.com/pghouse-c0sh/a030-h315/,罗店,http://fangjia.fang.com//pghouse-c0sh/a030-b03945-h315/
http://fangjia.fang.com/pghouse-c0sh/a030-h315/,罗泾,http://fangjia.fang.com//pghouse-c0sh/a030-b03948-h315/
http://fangjia.fang.com/pghouse-c0sh/a030-h315/,上大,http://fangjia.fang.com//pghouse-c0sh/a030-b03938-h315/
http://fangjia.fang.com/pghouse-c0sh/a030-h315/,淞宝,http://fangjia.fang.com//pghouse-c0sh/a030-b03947-h315/
http://fangjia.fang.com/pghouse-c0sh/a030-h315/,淞南,http://fangjia.fang.com//pghouse-c0sh/a030-b03939-h315/
http://fangjia.fang.com/pghouse-c0sh/a030-h315/,通河,http://fangjia.fang.com//pghouse-c0sh/a030-b012994-h315/
http://fangjia.fang.com/pghouse-c0sh/a030-h315/,杨行,http://fangjia.fang.com//pghouse-c0sh/a030-b010649-h315/
http://fangjia.fang.com/pghouse-c0sh/a030-h315/,月浦,http://fangjia.fang.com//pghouse-c0sh/a030-b03946-h315/
http://fangjia.fang.com/pghouse-c0sh/a030-h315/,张庙,http://fangjia.fang.com//pghouse-c0sh/a030-b03942-h315/
http://fangjia.fang.com/pghouse-c0sh/a027-h315/,大宁,http://fangjia.fang.com//pghouse-c0sh/a027-b03935-h315/
http://fangjia.fang.com/pghouse-c0sh/a027-h315/,彭浦,http://fangjia.fang.com//pghouse-c0sh/a027-b0138-h315/
http://fangjia.fang.com/pghouse-c0sh/a027-h315/,西藏北路,http://fangjia.fang.com//pghouse-c0sh/a027-b01654-h315/
